dataset,Accuracy,RMSE,Fscore,Kappa,PRC,AUC,nInstances,nClasses,nAttributes,Algorithm,RunTime,avgMissCost,AvgTotalCost,median1,mean1,sdt1,skewness1,median2,mean2,sdt2,skewness2,median3,mean3,sdt3,skewness3,median4,mean4,sdt4,skewness4,SAR
pca_art01,87,0.33,0.87,0.73,0.89,0.89,100,2,4,Bagging,48,0.16,1.6,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.81
pca_art01,50,0.54,0.34,0,0.52,0.5,100,2,4,Stacking,7,0.5,5,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.49
pca_art01,83,0.34,0.83,0.66,0.93,0.93,100,2,4,LogitBoost,45,0.24,2.4,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.81
pca_art01,83,0.36,0.83,0.65,0.89,0.89,100,2,4,RandomCommittee,53,0.24,2.4,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.79
pca_art01,50,0.54,0.34,0,0.52,0.5,100,2,4,Vote,1,0.5,5,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.49
pca_art01,89,0.3,0.89,0.77,0.97,0.96,100,2,4,Logistic,40,0.14,1.4,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.85
pca_art01,89,0.29,0.89,0.76,0.98,0.97,100,2,4,MultilayerPerceptron,740,0.15,1.5,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.86
pca_art01,87,0.31,0.87,0.73,0.96,0.96,100,2,4,SimpleLogistic,437,0.16,1.6,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.84
pca_art01,85,0.38,0.85,0.69,0.81,0.85,100,2,4,SMO,138,0.18,1.8,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.77
pca_art01,87,0.36,0.87,0.74,0.83,0.87,100,2,4,SVM,0.12,0.14,14,0.771811013,0.297124039,0.000207002,0.667489588,0.972231735,0.057295456,0.000468925,0.825322288,0.795458655,0.000809722,0.698945604,0.001937855,0.158009538,0.277777778,0.00505277,0.291044047,0.793333333
pca_art03,72,0.39,0.71,0.57,0.77,0.83,100,3,4,J48,13,0.39,3.9,0.771811013,0.297124039,0.000207002,0.193089354,0.899545695,0.057295456,0.000468925,0.825322288,0.795458655,0.000809722,0.698945604,0.001937855,0.158009538,0.277777778,0.00505277,0.291044047,0.72
pca_art03,54,0.42,0.46,0.32,0.58,0.71,100,3,4,DecisionStump,3,0.56,5.6,0.771811013,0.297124039,0.000207002,0.193089354,0.899545695,0.057295456,0.000468925,0.825322288,0.795458655,0.000809722,0.698945604,0.001937855,0.158009538,0.277777778,0.00505277,0.291044047,0.61
pca_art03,74,0.38,0.74,0.59,0.79,0.83,100,3,4,RandomForest,44,0.38,3.8,0.771811013,0.297124039,0.000207002,0.193089354,0.899545695,0.057295456,0.000468925,0.825322288,0.795458655,0.000809722,0.698945604,0.001937855,0.158009538,0.277777778,0.00505277,0.291044047,0.73
pca_art03,78,0.34,0.77,0.65,0.82,0.88,100,3,4,PART,16,0.31,3.1,0.771811013,0.297124039,0.000207002,0.193089354,0.899545695,0.057295456,0.000468925,0.825322288,0.795458655,0.000809722,0.698945604,0.001937855,0.158009538,0.277777778,0.00505277,0.291044047,0.77
pca_art03,69,0.38,0.67,0.53,0.72,0.8,100,3,4,DecisionTable,21,0.44,4.4,0.771811013,0.297124039,0.000207002,0.193089354,0.899545695,0.057295456,0.000468925,0.825322288,0.795458655,0.000809722,0.698945604,0.001937855,0.158009538,0.277777778,0.00505277,0.291044047,0.7
pca_art03,68,0.41,0.66,0.48,0.64,0.73,100,3,4,JRip,30,0.39,3.9,0.771811013,0.297124039,0.000207002,0.193089354,0.899545695,0.057295456,0.000468925,0.825322288,0.795458655,0.000809722,0.698945604,0.001937855,0.158009538,0.277777778,0.00505277,0.291044047,0.67
pca_art03,53,0.55,0.49,0.29,0.54,0.66,100,3,4,OneR,4,0.62,6.2,0.771811013,0.297124039,0.000207002,0.193089354,0.899545695,0.057295456,0.000468925,0.825322288,0.795458655,0.000809722,0.698945604,0.001937855,0.158009538,0.277777778,0.00505277,0.291044047,0.54
